Report Date:,11/9/2022 4:20:25 PM
Report User Name:,Jake
Report Computer Name:,FW20061-01
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,Soda Bay_Append_2022-11-03_10-09-26-282-BaroMerge.wsl
Create Date,11/9/2022 4:18:26 PM

Device Properties
Device,Rugged TROLL 200
Site,Adobe Creek
Device Name, 
Serial Number,628775
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Soda Bay
,Created By,Sarah
,Computer Name,L001
,Application,WinSitu.exe
,Application Version,5.7.5.6
,Create Date,12/13/2018 8:40:47 AM Pacific Standard Time
,Log Setup Time Zone,Pacific Standard Time
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,12/13/2018 9:00:00 AM Pacific Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,0.0251359 (ft)
,Head Pressure:,0.0108862 (PSI)
,Temperature:,21.3175 (C)



Log Notes:
Date and Time,Note
12/13/2018 8:40:53 AM ,Used Battery: 0% Used Memory: 6%   User Name: Sarah
12/21/2018 3:52:40 PM ,Log Download - Used Battery: 0% Used Memory: 6%   User Name: Sarah
3/24/2019 11:33:52 AM ,Log Download - Used Battery: 1% Used Memory: 15%   User Name: Sarah Interval -  Start Time: 12/21/2018 3:45:00 PM
12/3/2019 3:26:42 PM  ,Log Download - Used Battery: 7% Used Memory: 37%   User Name: sryan
1/25/2020 2:34:07 PM  ,Log Download - Used Battery: 8% Used Memory: 43%   User Name: sryan
4/18/2020 6:56:49 PM  ,Log Download - Used Battery: 10% Used Memory: 53%   User Name: sryan Interval -  Start Time: 1/25/2020 2:30:00 PM
5/21/2021 11:29:12 AM ,Log Download - Used Battery: 19% Used Memory: 90%   User Name: sryan Interval -  Start Time: 4/18/2020 6:45:00 PM
8/25/2021 8:43:29 AM  ,Log Download - Used Battery: 21% Used Memory: 100%   User Name: sryan Interval -  Start Time: 5/21/2021 11:15:00 AM
11/3/2021 7:59:32 AM  ,Log Download - Used Battery: 22% Used Memory: 100%   User Name: sryan Interval -  Start Time: 8/25/2021 8:30:00 AM
12/17/2021 2:22:37 PM ,Log Download - Used Battery: 23% Used Memory: 100%   User Name: sryan Interval -  Start Time: 11/3/2021 7:45:00 AM
2/2/2022 10:11:04 AM  ,Log Download - Used Battery: 24% Used Memory: 100%   User Name: sryan Interval -  Start Time: 12/17/2021 2:15:00 PM
5/2/2022 10:09:31 AM  ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 6:49:21 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 7:02:08 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 8:35:36 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: sryan Interval -  Start Time: 2/2/2022 10:00:00 AM
8/3/2022 9:40:26 AM   ,Log Download - Used Battery: 28% Used Memory: 100%   User Name: Alix Interval -  Start Time: 5/1/2022 10:00:00 AM Stop Time: 8/3/2022 8:45:00 AM
11/3/2022 10:08:22 AM ,Log Download - Used Battery: 30% Used Memory: 100%   User Name: atyler Interval -  Start Time: 8/3/2022 8:30:00 AM
11/9/2022 4:18:26 PM  ,User Note: "Pressure & Level adjusted by baro data from: "Baro_Append_2022-11-03_10-12-18-925.wsl""


Log Data:
Record Count,17857

Sensors,1

 ,1,628775,Pressure/Temp PSIA (9m/30ft)

Time Zone: Pacific Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,,SN#: 628775                             ,SN#: 628775                             ,SN#: 628775                             ,
,Elapsed Time,Corrected                               ,                                        ,Corrected                               ,
Date and Time,Seconds     ,Pressure (PSI)                          ,Temperature (C)                         ,Depth (ft)                              ,
5/29/2022 3:30:00 AM  , 2395800.000,                                   0.018,                                  12.139,                                   0.040,
5/29/2022 3:45:00 AM  , 2396700.000,                                   0.011,                                  11.985,                                   0.026,
5/29/2022 4:00:00 AM  , 2397600.000,                                   0.013,                                  11.882,                                   0.031,
5/29/2022 4:15:00 AM  , 2398500.000,                                   0.012,                                  11.779,                                   0.028,
5/29/2022 4:30:00 AM  , 2399400.000,                                   0.004,                                  11.625,                                   0.009,
5/29/2022 4:45:00 AM  , 2400300.000,                                   0.011,                                  11.419,                                   0.024,
5/29/2022 5:00:00 AM  , 2401200.000,                                   0.014,                                  11.316,                                   0.032,
5/29/2022 5:15:00 AM  , 2402100.000,                                   0.008,                                  11.212,                                   0.018,
5/29/2022 5:30:00 AM  , 2403000.000,                                   0.006,                                  11.161,                                   0.014,
5/29/2022 5:45:00 AM  , 2403900.000,                                   0.015,                                  11.058,                                   0.034,
5/29/2022 6:00:00 AM  , 2404800.000,                                   0.009,                                  10.954,                                   0.022,
5/29/2022 6:15:00 AM  , 2405700.000,                                   0.014,                                  10.644,                                   0.031,
5/29/2022 6:30:00 AM  , 2406600.000,                                   0.009,                                  10.696,                                   0.021,
5/29/2022 6:45:00 AM  , 2407500.000,                                   0.016,                                  10.696,                                   0.037,
5/29/2022 7:00:00 AM  , 2408400.000,                                   0.011,                                  10.851,                                   0.026,
5/29/2022 7:15:00 AM  , 2409300.000,                                   0.010,                                  11.058,                                   0.022,
5/29/2022 7:30:00 AM  , 2410200.000,                                   0.012,                                  11.212,                                   0.028,
5/29/2022 7:45:00 AM  , 2411100.000,                                   0.011,                                  11.419,                                   0.025,
5/29/2022 8:00:00 AM  , 2412000.000,                                   0.014,                                  11.573,                                   0.032,
5/29/2022 8:15:00 AM  , 2412900.000,                                   0.018,                                  11.779,                                   0.041,
5/29/2022 8:30:00 AM  , 2413800.000,                                   0.011,                                  11.934,                                   0.024,
5/29/2022 8:45:00 AM  , 2414700.000,                                   0.014,                                  12.037,                                   0.032,
5/29/2022 9:00:00 AM  , 2415600.000,                                   0.008,                                  12.191,                                   0.018,
5/29/2022 9:15:00 AM  , 2416500.000,                                   0.010,                                  12.396,                                   0.024,
5/29/2022 9:30:00 AM  , 2417400.000,                                   0.012,                                  12.550,                                   0.027,
5/29/2022 9:45:00 AM  , 2418300.000,                                   0.007,                                  12.807,                                   0.016,
5/29/2022 10:00:00 AM , 2419200.000,                                   0.007,                                  13.012,                                   0.016,
5/29/2022 10:15:00 AM , 2420100.000,                                   0.008,                                  13.217,                                   0.019,
5/29/2022 10:30:00 AM , 2421000.000,                                   0.011,                                  13.472,                                   0.025,
5/29/2022 10:45:00 AM , 2421900.000,                                   0.009,                                  13.728,                                   0.021,
5/29/2022 11:00:00 AM , 2422800.000,                                   0.010,                                  14.034,                                   0.023,
5/29/2022 11:15:00 AM , 2423700.000,                                   0.002,                                  14.340,                                   0.004,
5/29/2022 11:30:00 AM , 2424600.000,                                   0.008,                                  14.543,                                   0.019,
5/29/2022 11:45:00 AM , 2425500.000,                                  -0.007,                                  14.798,                                  -0.016,
5/29/2022 12:00:00 PM , 2426400.000,                                  -0.008,                                  14.950,                                  -0.017,
5/29/2022 12:15:00 PM , 2427300.000,                                   0.002,                                  15.255,                                   0.004,
5/29/2022 12:30:00 PM , 2428200.000,                                   0.006,                                  15.458,                                   0.014,
5/29/2022 12:45:00 PM , 2429100.000,                                   0.001,                                  15.711,                                   0.002,
5/29/2022 1:00:00 PM  , 2430000.000,                                   0.015,                                  16.015,                                   0.035,
5/29/2022 1:15:00 PM  , 2430900.000,                                   0.007,                                  16.318,                                   0.016,
5/29/2022 1:30:00 PM  , 2431800.000,                                   0.003,                                  16.570,                                   0.008,
5/29/2022 1:45:00 PM  , 2432700.000,                                   0.008,                                  16.823,                                   0.018,
5/29/2022 2:00:00 PM  , 2433600.000,                                   0.005,                                  16.923,                                   0.012,
5/29/2022 2:15:00 PM  , 2434500.000,                                   0.008,                                  17.175,                                   0.019,
5/29/2022 2:30:00 PM  , 2435400.000,                                   0.010,                                  17.326,                                   0.022,
5/29/2022 2:45:00 PM  , 2436300.000,                                   0.007,                                  17.477,                                   0.015,
5/29/2022 3:00:00 PM  , 2437200.000,                                  -0.001,                                  17.578,                                  -0.001,
5/29/2022 3:15:00 PM  , 2438100.000,                                   0.006,                                  17.728,                                   0.013,
5/29/2022 3:30:00 PM  , 2439000.000,                                   0.007,                                  17.778,                                   0.015,
5/29/2022 3:45:00 PM  , 2439900.000,                                   0.004,                                  17.979,                                   0.009,
5/29/2022 4:00:00 PM  , 2440800.000,                                   0.011,                                  18.029,                                   0.026,
5/29/2022 4:15:00 PM  , 2441700.000,                                   0.009,                                  18.180,                                   0.022,
5/29/2022 4:30:00 PM  , 2442600.000,                                   0.008,                                  18.180,                                   0.018,
5/29/2022 4:45:00 PM  , 2443500.000,                                   0.005,                                  18.180,                                   0.013,
5/29/2022 5:00:00 PM  , 2444400.000,                                   0.011,                                  18.230,                                   0.026,
5/29/2022 5:15:00 PM  , 2445300.000,                                   0.017,                                  18.280,                                   0.039,
5/29/2022 5:30:00 PM  , 2446200.000,                                   0.014,                                  18.230,                                   0.033,
5/29/2022 5:45:00 PM  , 2447100.000,                                   0.015,                                  18.130,                                   0.034,
5/29/2022 6:00:00 PM  , 2448000.000,                                   0.012,                                  18.180,                                   0.028,
5/29/2022 6:15:00 PM  , 2448900.000,                                   0.013,                                  17.979,                                   0.029,
5/29/2022 6:30:00 PM  , 2449800.000,                                   0.017,                                  17.879,                                   0.038,
5/29/2022 6:45:00 PM  , 2450700.000,                                   0.018,                                  17.829,                                   0.041,
5/29/2022 7:00:00 PM  , 2451600.000,                                   0.013,                                  17.728,                                   0.031,
5/29/2022 7:15:00 PM  , 2452500.000,                                   0.020,                                  17.477,                                   0.046,
5/29/2022 7:30:00 PM  , 2453400.000,                                   0.007,                                  17.326,                                   0.017,
5/29/2022 7:45:00 PM  , 2454300.000,                                   0.009,                                  17.125,                                   0.020,
5/29/2022 8:00:00 PM  , 2455200.000,                                   0.013,                                  16.923,                                   0.030,
5/29/2022 8:15:00 PM  , 2456100.000,                                   0.012,                                  16.671,                                   0.027,
5/29/2022 8:30:00 PM  , 2457000.000,                                   0.023,                                  16.368,                                   0.053,
5/29/2022 8:45:00 PM  , 2457900.000,                                   0.021,                                  16.015,                                   0.048,
5/29/2022 9:00:00 PM  , 2458800.000,                                   0.016,                                  15.711,                                   0.037,
5/29/2022 9:15:00 PM  , 2459700.000,                                   0.010,                                  15.508,                                   0.023,
5/29/2022 9:30:00 PM  , 2460600.000,                                   0.020,                                  15.407,                                   0.047,
5/29/2022 9:45:00 PM  , 2461500.000,                                   0.020,                                  15.255,                                   0.045,
5/29/2022 10:00:00 PM , 2462400.000,                                   0.017,                                  15.102,                                   0.039,
5/29/2022 10:15:00 PM , 2463300.000,                                   0.017,                                  14.899,                                   0.039,
5/29/2022 10:30:00 PM , 2464200.000,                                   0.013,                                  14.798,                                   0.029,
5/29/2022 10:45:00 PM , 2465100.000,                                   0.015,                                  14.543,                                   0.034,
5/29/2022 11:00:00 PM , 2466000.000,                                   0.023,                                  14.289,                                   0.053,
5/29/2022 11:15:00 PM , 2466900.000,                                   0.012,                                  14.034,                                   0.028,
5/29/2022 11:30:00 PM , 2467800.000,                                   0.013,                                  13.830,                                   0.031,
5/29/2022 11:45:00 PM , 2468700.000,                                   0.018,                                  13.779,                                   0.041,
5/30/2022 12:00:00 AM , 2469600.000,                                   0.010,                                  13.626,                                   0.023,
5/30/2022 12:15:00 AM , 2470500.000,                                   0.014,                                  13.370,                                   0.032,
5/30/2022 12:30:00 AM , 2471400.000,                                   0.009,                                  12.961,                                   0.020,
5/30/2022 12:45:00 AM , 2472300.000,                                   0.011,                                  12.448,                                   0.026,
5/30/2022 1:00:00 AM  , 2473200.000,                                   0.005,                                  12.139,                                   0.012,
5/30/2022 1:15:00 AM  , 2474100.000,                                   0.014,                                  11.882,                                   0.032,
5/30/2022 1:30:00 AM  , 2475000.000,                                   0.014,                                  11.676,                                   0.033,
5/30/2022 1:45:00 AM  , 2475900.000,                                   0.014,                                  11.419,                                   0.032,
5/30/2022 2:00:00 AM  , 2476800.000,                                   0.009,                                  11.316,                                   0.020,
5/30/2022 2:15:00 AM  , 2477700.000,                                   0.012,                                  11.109,                                   0.027,
5/30/2022 2:30:00 AM  , 2478600.000,                                   0.006,                                  10.903,                                   0.013,
5/30/2022 2:45:00 AM  , 2479500.000,                                   0.010,                                  10.644,                                   0.022,
5/30/2022 3:00:00 AM  , 2480400.000,                                   0.016,                                  10.437,                                   0.037,
5/30/2022 3:15:00 AM  , 2481300.000,                                   0.004,                                  10.126,                                   0.010,
5/30/2022 3:30:00 AM  , 2482200.000,                                   0.014,                                   9.919,                                   0.033,
5/30/2022 3:45:00 AM  , 2483100.000,                                   0.005,                                   9.815,                                   0.012,
5/30/2022 4:00:00 AM  , 2484000.000,                                   0.012,                                   9.659,                                   0.028,
5/30/2022 4:15:00 AM  , 2484900.000,                                   0.009,                                   9.555,                                   0.021,
5/30/2022 4:30:00 AM  , 2485800.000,                                   0.009,                                   9.295,                                   0.022,
5/30/2022 4:45:00 AM  , 2486700.000,                                   0.006,                                   9.087,                                   0.013,
5/30/2022 5:00:00 AM  , 2487600.000,                                   0.004,                                   8.827,                                   0.010,
5/30/2022 5:15:00 AM  , 2488500.000,                                   0.007,                                   8.566,                                   0.016,
5/30/2022 5:30:00 AM  , 2489400.000,                                   0.015,                                   8.461,                                   0.036,
5/30/2022 5:45:00 AM  , 2490300.000,                                   0.009,                                   8.200,                                   0.020,
5/30/2022 6:00:00 AM  , 2491200.000,                                   0.008,                                   7.991,                                   0.019,
5/30/2022 6:15:00 AM  , 2492100.000,                                   0.013,                                   7.834,                                   0.029,
5/30/2022 6:30:00 AM  , 2493000.000,                                   0.012,                                   7.782,                                   0.027,
5/30/2022 6:45:00 AM  , 2493900.000,                                   0.009,                                   7.729,                                   0.022,
5/30/2022 7:00:00 AM  , 2494800.000,                                   0.009,                                   7.991,                                   0.021,
5/30/2022 7:15:00 AM  , 2495700.000,                                   0.009,                                   8.409,                                   0.021,
5/30/2022 7:30:00 AM  , 2496600.000,                                   0.016,                                   8.931,                                   0.038,
5/30/2022 7:45:00 AM  , 2497500.000,                                   0.008,                                   9.451,                                   0.019,
5/30/2022 8:00:00 AM  , 2498400.000,                                   0.005,                                   9.867,                                   0.011,
5/30/2022 8:15:00 AM  , 2499300.000,                                   0.015,                                  10.333,                                   0.034,
5/30/2022 8:30:00 AM  , 2500200.000,                                   0.007,                                  10.799,                                   0.015,
5/30/2022 8:45:00 AM  , 2501100.000,                                   0.016,                                  11.161,                                   0.038,
5/30/2022 9:00:00 AM  , 2502000.000,                                   0.006,                                  11.522,                                   0.013,
5/30/2022 9:15:00 AM  , 2502900.000,                                   0.002,                                  11.831,                                   0.006,
5/30/2022 9:30:00 AM  , 2503800.000,                                   0.004,                                  12.139,                                   0.009,
5/30/2022 9:45:00 AM  , 2504700.000,                                   0.007,                                  12.396,                                   0.016,
5/30/2022 10:00:00 AM , 2505600.000,                                   0.014,                                  12.653,                                   0.033,
5/30/2022 10:15:00 AM , 2506500.000,                                   0.009,                                  12.961,                                   0.021,
5/30/2022 10:30:00 AM , 2507400.000,                                   0.009,                                  13.268,                                   0.022,
5/30/2022 10:45:00 AM , 2508300.000,                                   0.015,                                  13.523,                                   0.034,
5/30/2022 11:00:00 AM , 2509200.000,                                   0.009,                                  13.830,                                   0.020,
5/30/2022 11:15:00 AM , 2510100.000,                                   0.009,                                  14.187,                                   0.021,
5/30/2022 11:30:00 AM , 2511000.000,                                  -0.006,                                  14.594,                                  -0.013,
5/30/2022 11:45:00 AM , 2511900.000,                                   0.003,                                  15.001,                                   0.006,
5/30/2022 12:00:00 PM , 2512800.000,                                   0.000,                                  15.458,                                   0.000,
5/30/2022 12:15:00 PM , 2513700.000,                                   0.002,                                  15.812,                                   0.005,
5/30/2022 12:30:00 PM , 2514600.000,                                   0.004,                                  16.116,                                   0.009,
5/30/2022 12:45:00 PM , 2515500.000,                                   0.003,                                  16.419,                                   0.006,
5/30/2022 1:00:00 PM  , 2516400.000,                                   0.002,                                  16.772,                                   0.003,
5/30/2022 1:15:00 PM  , 2517300.000,                                   0.002,                                  16.974,                                   0.005,
5/30/2022 1:30:00 PM  , 2518200.000,                                   0.001,                                  17.225,                                   0.002,
5/30/2022 1:45:00 PM  , 2519100.000,                                   0.002,                                  17.427,                                   0.003,
5/30/2022 2:00:00 PM  , 2520000.000,                                   0.003,                                  17.678,                                   0.008,
5/30/2022 2:15:00 PM  , 2520900.000,                                   0.007,                                  17.829,                                   0.016,
5/30/2022 2:30:00 PM  , 2521800.000,                                   0.004,                                  18.130,                                   0.010,
5/30/2022 2:45:00 PM  , 2522700.000,                                   0.003,                                  18.330,                                   0.006,
5/30/2022 3:00:00 PM  , 2523600.000,                                   0.004,                                  18.480,                                   0.008,
5/30/2022 3:15:00 PM  , 2524500.000,                                   0.001,                                  18.731,                                   0.003,
5/30/2022 3:30:00 PM  , 2525400.000,                                   0.008,                                  18.781,                                   0.018,
5/30/2022 3:45:00 PM  , 2526300.000,                                   0.002,                                  18.781,                                   0.006,
5/30/2022 4:00:00 PM  , 2527200.000,                                   0.013,                                  18.831,                                   0.030,
5/30/2022 4:15:00 PM  , 2528100.000,                                  -0.000,                                  18.831,                                  -0.001,
5/30/2022 4:30:00 PM  , 2529000.000,                                   0.009,                                  18.981,                                   0.022,
5/30/2022 4:45:00 PM  , 2529900.000,                                   0.010,                                  19.130,                                   0.022,
5/30/2022 5:00:00 PM  , 2530800.000,                                   0.011,                                  19.230,                                   0.025,
5/30/2022 5:15:00 PM  , 2531700.000,                                   0.009,                                  19.230,                                   0.020,
5/30/2022 5:30:00 PM  , 2532600.000,                                   0.011,                                  19.230,                                   0.025,
5/30/2022 5:45:00 PM  , 2533500.000,                                   0.007,                                  19.180,                                   0.015,
5/30/2022 6:00:00 PM  , 2534400.000,                                   0.014,                                  19.130,                                   0.031,
5/30/2022 6:15:00 PM  , 2535300.000,                                   0.016,                                  19.080,                                   0.037,
5/30/2022 6:30:00 PM  , 2536200.000,                                   0.011,                                  18.931,                                   0.025,
5/30/2022 6:45:00 PM  , 2537100.000,                                   0.009,                                  18.781,                                   0.020,
5/30/2022 7:00:00 PM  , 2538000.000,                                   0.010,                                  18.731,                                   0.023,
5/30/2022 7:15:00 PM  , 2538900.000,                                   0.013,                                  18.580,                                   0.029,
5/30/2022 7:30:00 PM  , 2539800.000,                                   0.013,                                  18.330,                                   0.030,
5/30/2022 7:45:00 PM  , 2540700.000,                                   0.022,                                  17.979,                                   0.050,
5/30/2022 8:00:00 PM  , 2541600.000,                                   0.011,                                  17.879,                                   0.026,
5/30/2022 8:15:00 PM  , 2542500.000,                                   0.022,                                  17.678,                                   0.052,
5/30/2022 8:30:00 PM  , 2543400.000,                                   0.023,                                  17.427,                                   0.053,
5/30/2022 8:45:00 PM  , 2544300.000,                                   0.031,                                  17.024,                                   0.070,
5/30/2022 9:00:00 PM  , 2545200.000,                                   0.022,                                  16.772,                                   0.051,
5/30/2022 9:15:00 PM  , 2546100.000,                                   0.014,                                  16.368,                                   0.032,
5/30/2022 9:30:00 PM  , 2547000.000,                                   0.016,                                  16.116,                                   0.038,
5/30/2022 9:45:00 PM  , 2547900.000,                                   0.017,                                  15.812,                                   0.040,
5/30/2022 10:00:00 PM , 2548800.000,                                   0.011,                                  15.610,                                   0.026,
5/30/2022 10:15:00 PM , 2549700.000,                                   0.011,                                  15.407,                                   0.025,
5/30/2022 10:30:00 PM , 2550600.000,                                   0.016,                                  15.102,                                   0.037,
5/30/2022 10:45:00 PM , 2551500.000,                                   0.012,                                  14.696,                                   0.029,
5/30/2022 11:00:00 PM , 2552400.000,                                   0.018,                                  14.187,                                   0.041,
5/30/2022 11:15:00 PM , 2553300.000,                                   0.022,                                  13.728,                                   0.051,
5/30/2022 11:30:00 PM , 2554200.000,                                   0.018,                                  13.319,                                   0.042,
5/30/2022 11:45:00 PM , 2555100.000,                                   0.017,                                  13.063,                                   0.039,
5/31/2022 12:00:00 AM , 2556000.000,                                   0.020,                                  12.807,                                   0.045,
5/31/2022 12:15:00 AM , 2556900.000,                                   0.011,                                  12.499,                                   0.025,
5/31/2022 12:30:00 AM , 2557800.000,                                   0.014,                                  12.294,                                   0.033,
5/31/2022 12:45:00 AM , 2558700.000,                                   0.011,                                  12.191,                                   0.025,
5/31/2022 1:00:00 AM  , 2559600.000,                                   0.015,                                  11.934,                                   0.033,
5/31/2022 1:15:00 AM  , 2560500.000,                                   0.013,                                  11.625,                                   0.030,
5/31/2022 1:30:00 AM  , 2561400.000,                                   0.008,                                  11.316,                                   0.019,
5/31/2022 1:45:00 AM  , 2562300.000,                                   0.011,                                  11.058,                                   0.026,
5/31/2022 2:00:00 AM  , 2563200.000,                                   0.006,                                  10.851,                                   0.013,
5/31/2022 2:15:00 AM  , 2564100.000,                                   0.016,                                  10.592,                                   0.038,
5/31/2022 2:30:00 AM  , 2565000.000,                                   0.010,                                  10.437,                                   0.024,
5/31/2022 2:45:00 AM  , 2565900.000,                                   0.011,                                  10.282,                                   0.026,
5/31/2022 3:00:00 AM  , 2566800.000,                                   0.009,                                  10.074,                                   0.021,
5/31/2022 3:15:00 AM  , 2567700.000,                                   0.003,                                   9.919,                                   0.007,
5/31/2022 3:30:00 AM  , 2568600.000,                                   0.013,                                   9.555,                                   0.029,
5/31/2022 3:45:00 AM  , 2569500.000,                                   0.014,                                   9.399,                                   0.033,
5/31/2022 4:00:00 AM  , 2570400.000,                                   0.004,                                   9.191,                                   0.009,
5/31/2022 4:15:00 AM  , 2571300.000,                                   0.006,                                   9.035,                                   0.014,
5/31/2022 4:30:00 AM  , 2572200.000,                                   0.008,                                   8.827,                                   0.018,
5/31/2022 4:45:00 AM  , 2573100.000,                                   0.008,                                   8.670,                                   0.019,
5/31/2022 5:00:00 AM  , 2574000.000,                                   0.010,                                   8.409,                                   0.022,
5/31/2022 5:15:00 AM  , 2574900.000,                                   0.012,                                   8.357,                                   0.027,
5/31/2022 5:30:00 AM  , 2575800.000,                                   0.005,                                   8.357,                                   0.011,
5/31/2022 5:45:00 AM  , 2576700.000,                                   0.010,                                   8.148,                                   0.023,
5/31/2022 6:00:00 AM  , 2577600.000,                                   0.012,                                   7.991,                                   0.028,
5/31/2022 6:15:00 AM  , 2578500.000,                                   0.008,                                   7.939,                                   0.018,
5/31/2022 6:30:00 AM  , 2579400.000,                                   0.008,                                   7.834,                                   0.019,
5/31/2022 6:45:00 AM  , 2580300.000,                                   0.006,                                   7.939,                                   0.014,
5/31/2022 7:00:00 AM  , 2581200.000,                                   0.009,                                   8.200,                                   0.020,
5/31/2022 7:15:00 AM  , 2582100.000,                                   0.010,                                   8.618,                                   0.022,
5/31/2022 7:30:00 AM  , 2583000.000,                                   0.005,                                   9.139,                                   0.012,
5/31/2022 7:45:00 AM  , 2583900.000,                                   0.012,                                   9.659,                                   0.028,
5/31/2022 8:00:00 AM  , 2584800.000,                                   0.014,                                  10.178,                                   0.033,
5/31/2022 8:15:00 AM  , 2585700.000,                                   0.010,                                  10.696,                                   0.024,
5/31/2022 8:30:00 AM  , 2586600.000,                                   0.007,                                  11.212,                                   0.017,
5/31/2022 8:45:00 AM  , 2587500.000,                                   0.013,                                  11.676,                                   0.030,
5/31/2022 9:00:00 AM  , 2588400.000,                                   0.008,                                  12.191,                                   0.020,
5/31/2022 9:15:00 AM  , 2589300.000,                                   0.004,                                  12.756,                                   0.010,
5/31/2022 9:30:00 AM  , 2590200.000,                                   0.008,                                  13.165,                                   0.019,
5/31/2022 9:45:00 AM  , 2591100.000,                                   0.013,                                  13.626,                                   0.030,
5/31/2022 10:00:00 AM , 2592000.000,                                   0.015,                                  14.034,                                   0.036,
5/31/2022 10:15:00 AM , 2592900.000,                                   0.008,                                  14.442,                                   0.018,
5/31/2022 10:30:00 AM , 2593800.000,                                   0.009,                                  14.899,                                   0.021,
5/31/2022 10:45:00 AM , 2594700.000,                                   0.010,                                  15.255,                                   0.022,
5/31/2022 11:00:00 AM , 2595600.000,                                   0.005,                                  15.660,                                   0.011,
5/31/2022 11:15:00 AM , 2596500.000,                                   0.003,                                  15.964,                                   0.007,
5/31/2022 11:30:00 AM , 2597400.000,                                   0.007,                                  16.267,                                   0.016,
5/31/2022 11:45:00 AM , 2598300.000,                                   0.000,                                  16.469,                                   0.000,
5/31/2022 12:00:00 PM , 2599200.000,                                   0.002,                                  16.823,                                   0.004,
5/31/2022 12:15:00 PM , 2600100.000,                                   0.002,                                  17.125,                                   0.005,
5/31/2022 12:30:00 PM , 2601000.000,                                   0.001,                                  17.477,                                   0.003,
5/31/2022 12:45:00 PM , 2601900.000,                                  -0.004,                                  17.778,                                  -0.010,
5/31/2022 1:00:00 PM  , 2602800.000,                                  -0.003,                                  18.080,                                  -0.006,
5/31/2022 1:15:00 PM  , 2603700.000,                                  -0.002,                                  18.330,                                  -0.004,
5/31/2022 1:30:00 PM  , 2604600.000,                                  -0.006,                                  18.631,                                  -0.014,
5/31/2022 1:45:00 PM  , 2605500.000,                                  -0.000,                                  18.931,                                  -0.001,
5/31/2022 2:00:00 PM  , 2606400.000,                                  -0.009,                                  19.130,                                  -0.021,
5/31/2022 2:15:00 PM  , 2607300.000,                                   0.002,                                  19.380,                                   0.004,
5/31/2022 2:30:00 PM  , 2608200.000,                                  -0.003,                                  19.679,                                  -0.007,
5/31/2022 2:45:00 PM  , 2609100.000,                                   0.001,                                  19.878,                                   0.002,
5/31/2022 3:00:00 PM  , 2610000.000,                                   0.006,                                  20.177,                                   0.015,
5/31/2022 3:15:00 PM  , 2610900.000,                                  -0.004,                                  20.276,                                  -0.009,
5/31/2022 3:30:00 PM  , 2611800.000,                                   0.001,                                  20.524,                                   0.003,
5/31/2022 3:45:00 PM  , 2612700.000,                                   0.006,                                  20.624,                                   0.014,
5/31/2022 4:00:00 PM  , 2613600.000,                                   0.000,                                  20.773,                                   0.001,
5/31/2022 4:15:00 PM  , 2614500.000,                                   0.005,                                  20.921,                                   0.011,
5/31/2022 4:30:00 PM  , 2615400.000,                                   0.000,                                  21.070,                                   0.000,
5/31/2022 4:45:00 PM  , 2616300.000,                                  -0.000,                                  20.971,                                  -0.000,
5/31/2022 5:00:00 PM  , 2617200.000,                                   0.001,                                  21.119,                                   0.002,
5/31/2022 5:15:00 PM  , 2618100.000,                                   0.004,                                  21.070,                                   0.009,
5/31/2022 5:30:00 PM  , 2619000.000,                                   0.002,                                  21.119,                                   0.004,
5/31/2022 5:45:00 PM  , 2619900.000,                                  -0.000,                                  20.872,                                  -0.000,
5/31/2022 6:00:00 PM  , 2620800.000,                                   0.002,                                  20.921,                                   0.005,
5/31/2022 6:15:00 PM  , 2621700.000,                                   0.014,                                  21.020,                                   0.033,
5/31/2022 6:30:00 PM  , 2622600.000,                                   0.014,                                  21.218,                                   0.032,
5/31/2022 6:45:00 PM  , 2623500.000,                                   0.008,                                  21.169,                                   0.019,
5/31/2022 7:00:00 PM  , 2624400.000,                                   0.008,                                  20.673,                                   0.019,
5/31/2022 7:15:00 PM  , 2625300.000,                                   0.005,                                  20.872,                                   0.011,
5/31/2022 7:30:00 PM  , 2626200.000,                                   0.010,                                  20.723,                                   0.024,
5/31/2022 7:45:00 PM  , 2627100.000,                                   0.015,                                  20.773,                                   0.035,
5/31/2022 8:00:00 PM  , 2628000.000,                                   0.006,                                  20.524,                                   0.014,
5/31/2022 8:15:00 PM  , 2628900.000,                                   0.013,                                  20.127,                                   0.031,
