"Location Properties"
"Location Name = CLH_2024_Adobe_AC4_PT-529155"
"Location ID = 6621191135166464"
"Latitude = 38.95677185058594 °"
"Longitude = -122.89136505126953 °"
"Time shown in UTC"
""
""
"Date Time","Temperature (C)","Pressure (psi)","Depth (m)"
"2024-01-11 00:37:00.000","9.8807373046875","0.6932792663574219","0.4879553901672364"
"2024-01-11 00:45:00.000","9.854965209960938","0.6950559616088867","0.4891621479034424"
"2024-01-11 01:00:00.000","9.806365966796875","0.6954498291015625","0.4880030616760254"
"2024-01-11 01:15:00.000","9.742279052734375","0.6965847015380859","0.4902145545959473"
"2024-01-11 01:30:00.000","9.667144775390625","0.6964998245239258","0.49015481986999515"
"2024-01-11 01:45:00.000","9.599365234375","0.6979198455810547","0.4909145845413208"
"2024-01-11 02:00:00.000","9.50946044921875","0.6993169784545898","0.49164884204864506"
"2024-01-11 02:15:00.000","9.4202880859375","0.6963052749633789","0.490568239402771"
"2024-01-11 02:30:00.000","9.314895629882812","0.6947832107543945","0.49022193059921265"
"2024-01-11 02:45:00.000","9.195449829101562","0.6985998153686523","0.4929723804473877"
"2024-01-11 03:00:00.000","9.10400390625","0.698084831237793","0.49059643535614017"
"2024-01-11 03:15:00.000","9.016220092773438","0.6988935470581055","0.49101730356216433"
"2024-01-11 03:30:00.000","8.935821533203125","0.6975469589233398","0.4910642483711243"
"2024-01-11 03:45:00.000","8.839889526367188","0.6981687545776367","0.49205826473236086"
"2024-01-11 04:00:00.000","8.754287719726562","0.6979808807373047","0.4909615656852722"
"2024-01-11 04:15:00.000","8.671630859375","0.6957321166992188","0.4907903915405274"
"2024-01-11 04:30:00.000","8.58746337890625","0.6956682205200195","0.48985948905944826"
"2024-01-11 04:45:00.000","8.506271362304688","0.6966543197631836","0.4901487882614136"
"2024-01-11 05:00:00.000","8.428726196289062","0.6944551467895508","0.4900232508659363"
"2024-01-11 05:15:00.000","8.356338500976562","0.696049690246582","0.49118106536865236"
"2024-01-11 05:30:00.000","8.300949096679688","0.696136474609375","0.48978434829711914"
"2024-01-11 05:45:00.000","8.24554443359375","0.695765495300293","0.49086894779205326"
"2024-01-11 06:00:00.000","8.195297241210938","0.6959190368652344","0.4902501265525818"
"2024-01-11 06:15:00.000","8.145782470703125","0.6948966979980469","0.4906266297340393"
"2024-01-11 06:30:00.000","8.091110229492188","0.6969461441040039","0.49078305187225346"
"2024-01-11 06:45:00.000","8.03936767578125","0.6971855163574219","0.49053604660034184"
"2024-01-11 07:00:00.000","7.9935455322265625","0.6982278823852539","0.4915072445869446"
"2024-01-11 07:15:00.000","7.941070556640625","0.6962242126464844","0.48977159471511844"
